age,spectacle,astigmatic,tear,result
young,myope,fine,reduced,no
young,myope,fine,normal,yes
young,myope,notfine,reduced,no
young,myope,notfine,normal,no
young,hypermetrope,fine,reduced,no
young,hypermetrope,fine,normal,yes
young,hypermetrope,notfine,reduced,no
young,hypermetrope,notfine,normal,no
pre-presbyopic,myope,fine,reduced,no
pre-presbyopic,myope,fine,normal,yes
pre-presbyopic,myope,notfine,reduced,no
pre-presbyopic,myope,notfine,normal,yes
pre-presbyopic,hypermetrope,fine,reduced,no
pre-presbyopic,hypermetrope,fine,normal,yes
pre-presbyopic,hypermetrope,notfine,reduced,no
pre-presbyopic,hypermetrope,notfine,normal,no
presbyopic,myope,fine,reduced,no
presbyopic,myope,fine,normal,no
presbyopic,myope,notfine,reduced,no
presbyopic,myope,notfine,normal,yes
presbyopic,hypermetrope,fine,reduced,no
presbyopic,hypermetrope,fine,normal,yes
presbyopic,hypermetrope,notfine,reduced,no
presbyopic,hypermetrope,notfine,normal,no